# class-to-slot map for migrating off @zeroship/ui class names.
#
# Generated from 3713c8ffe, the last commit where components emitted BOTH the
# zs-* classes and their data-slot attributes. It cannot be regenerated: the
# classes were deleted in 574330b6b, and the pairing was only derivable while
# both forms sat on the same element. Recovering it needs a git worktree at
# that commit, which is why it is committed here instead.
#
# Names drifted, so a slot cannot be derived from a class: zs-pricing is
# pricing-table, zs-data-table__th is data-table-column-header. One class may
# map to several slots (zs-section-eyebrow covers six sections), which is why
# some selectors need :is(...).
#
# Columns: class<TAB>slot
`zs-popover__close ${callerClassName}`	popover-close
zs-tabs--md	tabs
zs-tabs--pill	tabs
zs-tabs--sm	tabs
zs-tabs--vertical	tabs
zs-tabs-indicator	tabs-indicator
zs-tabs-indicator--card	tabs-indicator
zs-tabs-indicator--default	tabs-indicator
zs-tabs-indicator--horizontal	tabs-indicator
zs-tabs-indicator--lg	tabs-indicator
zs-tabs-indicator--md	tabs-indicator
zs-tabs-indicator--pill	tabs-indicator
zs-tabs-indicator--sm	tabs-indicator
zs-tabs-indicator--vertical	tabs-indicator
zs-tabs-list	tabs-list
zs-tabs-list--card	tabs-list
zs-tabs-list--default	tabs-list
zs-tabs-list--horizontal	tabs-list
zs-tabs-list--lg	tabs-list
zs-tabs-list--md	tabs-list
zs-tabs-list--pill	tabs-list
zs-tabs-list--sm	tabs-list
zs-tabs-list--vertical	tabs-list
zs-tabs-panel	tabs-panel
zs-tabs-panel--card	tabs-panel
zs-tabs-panel--default	tabs-panel
zs-tabs-panel--horizontal	tabs-panel
zs-tabs-panel--lg	tabs-panel
zs-tabs-panel--md	tabs-panel
zs-tabs-panel--pill	tabs-panel
zs-tabs-panel--sm	tabs-panel
zs-tabs-panel--vertical	tabs-panel
zs-tabs-tab	tabs-tab
zs-tabs-tab--card	tabs-tab
zs-tabs-tab--default	tabs-tab
zs-tabs-tab--horizontal	tabs-tab
zs-tabs-tab--lg	tabs-tab
zs-tabs-tab--md	tabs-tab
zs-tabs-tab--pill	tabs-tab
zs-tabs-tab--sm	tabs-tab
zs-tabs-tab--vertical	tabs-tab
zs-tag	tag
zs-tag--filter	tag
zs-tag--md	tag
zs-tag--removable	tag
zs-tag--sm	tag
zs-tag__icon	tag-icon
zs-tag__label	tag-label
zs-tag__remove	tag-remove
zs-tag__remove-glyph	tag-remove-glyph
zs-theme-root	theme-root
zs-toast-action	toast-action
zs-toast-close	toast-close
zs-toast-content	toast-content
zs-toast-description	toast-description
zs-toast-root	toast-root
